Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
diffused_distance_similarity,ml-100k/u.data,3,439,8431,0.962976432189795,0.9695223639749323,188,3586,3586,1.0,0.9420890553265608,0.7988153137513799,0.7753726233959559
diffusion_norm_distance_similarity,ml-100k/u.data,3,1,7640,0.9684146515033276,0.9724053725121621,188,3586,3586,1.0,0.9412822071298459,0.8031591447657211,0.7779335379833415
diffused_distance_similarity,ml-100k/u.data,4,199,7923,1.011541011847774,1.028083918707399,188,4101,4101,1.0,0.9381627663703374,0.8310539392436727,0.8169825096703877
regular_distance_similarity,ml-100k/u.data,4,2,3461,1.00597787567051,1.0238890427368281,188,4101,4101,1.0,0.9382054757201752,0.8248046615152304,0.8121248112642958
diffused_distance_similarity,ml-100k/u.data,1,163,8097,0.9928362052692651,1.0031542126701198,189,4215,4215,1.0,0.9361870281943449,0.8179706620340895,0.7908568088046429
diffused_distance_similarity,ml-100k/u.data,2,157,7884,1.0266796430485128,1.031413775654942,189,4071,4071,1.0,0.9304478750350249,0.845115791642159,0.818948424392266
diffused_distance_similarity,ml-100k/u.data,0,154,7923,0.9894509804532017,0.9960673465762514,189,4027,4027,1.0,0.9388731746993094,0.8091642825928649,0.7853666522582813
regular_distance_similarity,ml-100k/u.data,0,1,3422,0.9878671619787774,0.9906174380005272,189,4027,4027,1.0,0.9392808786332846,0.8097112710724386,0.7808347937764798
regular_distance_similarity,ml-100k/u.data,1,2,3520,0.985914147819799,0.9977648204816317,189,4215,4215,1.0,0.9395969181127788,0.8129293267513134,0.7860354697039726
diffusion_norm_distance_similarity,ml-100k/u.data,1,1,7993,0.9882462450789469,1.0019213094129988,189,4215,4215,1.0,0.9392561189597628,0.815223438295784,0.7903031053048158
regular_distance_similarity,ml-100k/u.data,2,2,3429,1.0184047021807374,1.0280835467787008,189,4071,4071,1.0,0.9328374094033794,0.8398427791867246,0.816717477638765
regular_distance_similarity,ml-100k/u.data,3,2,3242,0.9659545981950085,0.9691819312253891,188,3586,3586,1.0,0.9409900413650039,0.8001601662419354,0.7745525199792596
diffusion_norm_distance_similarity,ml-100k/u.data,2,1,7932,1.022874591033683,1.032186193728493,189,4071,4071,1.0,0.9322330051013177,0.8439447072264343,0.8204007623606185
diffusion_norm_distance_similarity,ml-100k/u.data,0,1,7870,0.9919297681351433,0.996722638637989,189,4027,4027,1.0,0.938838168717687,0.8128545636187038,0.786468235967643
diffusion_norm_distance_similarity,ml-100k/u.data,4,1,7930,1.0090180899922043,1.0274719084567492,188,4101,4101,1.0,0.93628825802356,0.8283461360881491,0.8159265166660635
